Material.ID,Formula,DOI,Crystal.System,Piezoelectric.Modulus,a,b,c,alpha,beta,gamma,Space.Group.Number,Space.Group.Symbol,CDM
mp-550070,NbBr2O,10.1038/sdata.2015.53,Monoclinic,3.700729479,3.9223775,7.06102318,7.46907643,104.6107011,105.2755648,89.99233088,5,C2,0.9204
mp-1070,CdSe,10.1038/sdata.2015.53,Hexagonal,0.371398974,4.34608591,4.34608486,7.08983988,90,90,120.0000074,186,P6_3mc,0.9194
mp-38322,Mg(IO3)2,10.1038/sdata.2015.53,Monoclinic,1.174947055,5.50180822,10.91962798,5.06770566,90,90,119.9734524,4,P2_1,0.9184
mp-804,GaN,10.1038/sdata.2015.53,Hexagonal,0.619484306,3.18892989,3.18893092,5.19235725,90,90,120.0000074,186,P6_3mc,0.9171
mp-863758,K2SrCdSb2,10.1038/sdata.2015.53,Orthorhombic,0.36301,4.997119,8.326006,9.973139,90,90,90,26,Pmc2_1,0.9157
mp-672,CdS,10.1038/sdata.2015.53,Hexagonal,0.4237329,4.16883814,4.16883806,6.77961741,90,90,120.0000074,186,P6_3mc,0.9156
mp-21892,Al2PbO4,10.1038/sdata.2015.53,Orthorhombic,0.93636,5.08039751,5.26956251,8.45991594,90,90,118.8194467,40,Ama2,0.9152
mp-558042,Sm3CuSnS7,10.1038/sdata.2015.53,Hexagonal,1.575914124,10.01613221,10.01613221,6.161634,90,90,120.0000014,173,P6_3,0.9151
mp-2542,BeO,10.1038/sdata.2015.53,Hexagonal,0.254564881,2.69427722,2.6942762,4.37601889,90,90,120.0000074,186,P6_3mc,0.914
mp-5342,GaAgS2,10.1038/sdata.2015.53,Tetragonal,0.264551999,5.75129003,5.75128983,6.59458319,64.20091132,64.200906,89.99999708,122,I-42d,0.4696
mp-9919,LiZnSb,10.1038/sdata.2015.53,Hexagonal,0.702685712,4.42299786,4.42299786,7.16481418,90,90,119.9999932,186,P6_3mc,0.9108
mp-759722,SiH8(NF3)2,10.1038/sdata.2015.53,Hexagonal,0.754342202,5.93892755,5.93892755,9.620941,90,90,119.999995,186,P6_3mc,0.9108
mp-1018040,MgSe,10.1038/sdata.2015.53,Hexagonal,0.463786306,4.22160025,4.22133418,6.81671783,90,90,120.0000074,186,P6_3mc,0.9069
mp-2133,ZnO,10.1038/sdata.2015.53,Hexagonal,1.285616185,3.23735118,3.23735087,5.2220613,90,90,120.0000074,186,P6_3mc,0.9056
mp-29826,ZnCN2,10.1038/sdata.2015.53,Tetragonal,0.22512,5.42734704,6.77415177,6.77415192,80.76558332,66.38478149,66.38480081,122,I-42d,0.5461
mp-1103527,BaBClF4,10.1038/sdata.2015.53,Orthorhombic,0.411119682,4.794597,5.327637,9.511563,90,90,90,31,Pmn2_1,0.901
mp-20496,Ga2PbO4,10.1038/sdata.2015.53,Orthorhombic,1.073001449,5.25125472,5.39734257,8.58802772,90,90,119.1086166,40,Ama2,0.9003
mp-555076,KNaSnF6,10.1038/sdata.2015.53,Orthorhombic,0.158906097,5.97777034,8.08349343,11.70419697,90,90,90,33,Pna2_1,0.8997
mp-570935,LiI,10.1038/sdata.2015.53,Hexagonal,0.193521913,4.54406925,4.54406935,7.29169756,90,90,120.0000074,186,P6_3mc,0.8991
mp-6980,ScCuS2,10.1038/sdata.2015.53,Hexagonal,0.682166471,3.73793898,3.73793898,5.99504719,90,90,119.9999992,156,P3m1,0.8985
mp-8377,TeO2,10.1038/sdata.2015.53,Orthorhombic,0.565,4.40728137,4.87095789,8.72851176,90,90,90,19,P2_12_12_1,0.8984
mp-661,AlN,10.1038/sdata.2015.53,Hexagonal,1.675678528,3.128588,3.12858827,5.016955,90,90,120.0000074,186,P6_3mc,0.8983
mp-1191811,BaZnTe2O7,10.1038/sdata.2015.53,Orthorhombic,0.526620881,8.67883126,8.67883126,5.634471,90,90,129.4651091,40,Ama2,0.8968
mp-27931,Rb2SnO2,10.1038/sdata.2015.53,Orthorhombic,0.16241,5.77708581,7.51246858,11.25318729,90,90,90,19,P2_12_12_1,0.8925
mp-12855,Cu2HgGeSe4,10.1038/sdata.2015.53,Tetragonal,0.161545,6.96928253,6.96928253,6.96928253,130.2678514,130.2678514,72.97892202,121,I-42m,0.7944
mp-567278,Sr(Si3N4)2,10.1038/sdata.2015.53,Orthorhombic,1.336148712,4.8119424,6.54738524,6.54738333,73.97619708,68.4403083,68.44030152,44,Imm2,0.5849
mp-567771,Ba(Si3N4)2,10.1038/sdata.2015.53,Orthorhombic,0.836026746,4.84255204,6.59949978,6.5994991,73.98558991,68.47618219,68.47618883,44,Imm2,0.5845
mp-10952,Cu2HgGeS4,10.1038/sdata.2015.53,Tetragonal,0.358355,6.53312333,6.53312333,6.53312333,130.1499633,130.1499633,73.1671374,121,I-42m,0.7919
mp-557403,LiFe2F6,10.1038/sdata.2015.53,Tetragonal,0.161355609,4.75622,4.75622,9.416841,90,90,90,102,P4_2nm,0.8835
mp-1001780,LuCuS2,10.1038/sdata.2015.53,Hexagonal,0.507583852,3.82992335,3.82992335,6.06580551,90,90,120.0000053,156,P3m1,0.8829
mp-3652,Ta9(FeS3)2,10.1038/sdata.2015.53,Hexagonal,1.173892707,10.38314948,10.38314183,6.57049595,90,90,119.9999957,189,P-62m,0.8801
mp-1880,SbF3,10.1038/sdata.2015.53,Orthorhombic,1.508826444,4.36664112,4.36663993,7.13727701,90,90,113.0335177,40,Ama2,0.8775
mp-861942,Ag2GePbS4,10.1038/sdata.2015.53,Orthorhombic,2.148515487,6.2339602,6.2339602,10.1796701,90,90,112.788098,40,Ama2,0.8746
mp-14864,Cs2Ti(PO4)2,10.1038/sdata.2015.53,Orthorhombic,0.137,7.362678,9.484032,14.036096,90,90,90,19,P2_12_12_1,0.8664
mp-4906,Te2SO7,10.1038/sdata.2015.53,Orthorhombic,0.835689729,4.67322431,6.99880178,8.88753347,90,90,90,31,Pmn2_1,0.863
mp-1095180,Ca2CdAs2,10.1038/sdata.2015.53,Orthorhombic,0.874908719,4.31662754,7.18909905,8.51082855,90,104.6904228,90,36,Cmc2_1,0.8616
mp-18938,Tl2MoO4,10.1038/sdata.2015.53,Monoclinic,0.594203493,6.15288466,6.15288381,8.02228574,88.85849199,88.85848496,63.56443091,5,C2,0.6041
mp-27253,Au2O3,10.1038/sdata.2015.53,Orthorhombic,0.537684784,3.91068535,5.61926549,6.7292685,84.19684487,73.10774457,69.63672757,43,Fdd2,0.661
mp-24509,CdH4(BrO4)2,10.1038/sdata.2015.53,Orthorhombic,0.14624,6.598542,9.405571,12.442463,90,90,90,19,P2_12_12_1,0.854
